,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
Ноутбук Megabook T1 (i5) 16/512Гб (Linux),43 230 ₽,"15.6""",512 Гб,16 ГБ,4,"документация, адаптер питания",70 Вт*Ч,1.48 кг,Linux
"Ноутбук ASUS VivoBook 15 15.6""FHD OLED I5/8Gb/512SSD/W11",75 800 ₽,15.6,512,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Home
"Ноутбук 15.6"" Notebook Pink Intel Celeron N5095 2.0GHz",32 679 ₽,15.6,512 Гб,16,,коробка; ноутбук; накладка на клавиатуру,,,
Ноутбук Lenovo Ideapad 3 Intel Core i3-1115G4,39 800 ₽,15.6,256 Гб,4,4,"Ноутбук, зарядное устройство, сетевой адаптер",,1.5 кг,Windows Pro
"Ноутбук Acer Aspire 3 17.3""i5 1135G7/8Gb/512Gb(NX.AD0ER.00A)",76 970 ₽,17.3,512,8 ГБ,4,"Ноутбук, блок питания, документация",,2.6 кг,Без системы
Ноутбук ASUS X515JA-BQ2979,45 051 ₽,"15.6""",256 Гб,8 ГБ,2,"ноутбук, адаптер питания, документация",37 Вт·ч,1.8 кг,Без ОС
ASUS TUF Gaming F15 FX506HE 90NR0704,135 999 ₽,15.6,512,16,6,,,2.3 кг,DOS
"Ноутбук IRU Калибр 15ЕС5,цвет черный",49 790 ₽,"15.6""",512 Гб,8,4-ядерный,"Ноутбук-1шт.,документация-1шт.",7200 мАч,,
"Ноутбук для работы ASUS ExpertBook B1 15.6""",49 990 ₽,15.6,256 Гб,8 ГБ,2,ноутбук; адаптер питания; документация,42 Втч,1.73 кг,Windows 11 Home
"Ноутбук Acer Aspire A315-34-C7L6 [NX.HE3ER.022]/15,6""/DOS",24 042 ₽,"15,6""",1 Тб,4 ГБ,2,,,,noOS
"Ноутбук Pro Fortis M i5 10210U/8Gb/SSD512Gb/15.6""/W11ProML64",39 165 ₽,"15.6""",512 Гб,8 ГБ,2,,4250 мА*ч,1.9 кг,Windows
Ноутбук Ipason Maxbook P1X 512/12 Gb для работы и учебы,42 800 ₽,"15,6 дюйма 1920*1080",512,12 ГБ,4,"сумка для ноутбука, коврик, мышка, зарядное устройство, usb разветвитель",,1.6 кг,Windows 11 rus
"Ноутбук RedmiBook Pro 15"" 2022",99 842 ₽,15,512 гб.,16,4,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",7000,1.8 кг,Windows 11 Pro
"Ноутбук HP 255 G9 15"" FHD TN AMD Ryzen 7 5825U 2ГГц",59 900 ₽,"15,6",Отсутствует,8 ГБ; 8,8,,41 Вт*ч,1.8 кг,Windows
"Ноутбук Lenovo ThinkPad E15 G3 15.6"" FHD Ryzen7/512SSD/DOS",137 170 ₽,15.6,512,16 ГБ,8,"Ноутбук, документация, блок питания",,1.7 кг,Без системы
Ноутбук MSI GF63 Thin 11UD-254XRU,73 840 ₽,"15.6""",256 ГБ,8 ГБ,6,"документация, адаптер питания",51 Вт*ч,1.86 кг,noOS
"Ноутбук IRU 14EC5 i5 1135G7/8Gb/SSD1Tb/14.1""/IPS/FHD/DOS",43 390 ₽,"14.1""",1024 Гб,8,4-ядерный,"Ноутбук-1шт.,документация-1шт.",4500 mAh,,Free DOS
SWIFT 1 SF114-34 золотистый,41 480 ₽,14,256 Гб,4,2,,,,
"Ноутбук MSI Modern14 14"" i5/8Gb/256SSD/ 9S7-14J112 -262",75 260 ₽,14,256,8 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Pro
Ноутбук VivoBook Pro 15 M6500QH-HN089 (90NB0YJ1-M00460),82 990 ₽,"15.6""",512 Гб,16 ГБ,8,ноутбук; блок питания; инструкция,50 Втч,1.65 кг,отсутствует
Ноутбук ProBook 450 G9 Notebook PC (723N5EA),67 990 ₽,"15,6",512 Гб,8,10,Блок питания; Инструкция,42 Втч,1.74 кг,нет
Ноутбук Notebook для работы учебы,37 000 ₽,"15,6",256 Гб,16,2,ноутбук - 1 шт,5700 мА*ч,2 кг,
MacBook Pro 16/M2 Pro/16/1 (Space Grey),244 841 ₽,"16,2""",1 ТБ,16 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
"Ноутбук Lenovo IdeaPad 1 14ADA05 82gw008brk 14"" (noOS)",27 985 ₽,"14""",128 Гб,4,2,,,1.4 кг,DOS
"Ноутбук HP Probook 450 i5-1235U/512SSD/15.6""IPS/DOS(6S7G4EA)",72 500 ₽,15.6,512,8 ГБ,10,"Ноутбук, документация, зарядный блок",,1.74 кг,Без системы
Ноутбук Katana GF66 12UВ-227 (9S7-158422-227),115 990 ₽,"15.6""",1024 Гб,16 ГБ,14,ноутбук; блок питания; инструкция,53.5 Втч,2.25 кг,отсутствует
Ноутбук 15-dw1495nia SSD 250 Gb,27 129 ₽,"15.6""",240 Гб,4 ГБ,4,блок питания; кабель питания; документация,,1.76 кг,noOS
"Ноутбук Pro Sprint M i5 1135G7/8Gb/SSD512Gb/15.6""/W11Pro",43 990 ₽,"15.6""",512 Гб,8 ГБ,4,"ноутбук - 1шт, сетевой адаптер - 1шт, краткое руководство - 1шт",4250 мА*ч,1.82 кг,Windows
Ноутбук Corebook Xpro 15.6'' IPS 144Hz Intle i3-1215U,43 690 ₽,"15,6""",512 Гб,16 gb; 8 GB,6,Инструкция - 1 шт; Гарантийный талон - 1 шт; Зарядное устройство - 1 шт; Ноутбук - 1 шт,4000 mAh,1.78 кг,Windows
Ноутбук Lenovo V17 IIL,45 639 ₽,17.3,256,8,4,"Ноутбук, документация, адаптер питания с кабелем",42 Вт*час,2.2 кг,не установлена
"Ноутбук Acer Aspire 3 15.6""i5/8Gb/512SSD/Linux(NX.HS5ER.006)",63 750 ₽,15.6,512,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.9 кг,Linux
Ноутбук Lenovo ThinkBook 14 G3 ACL,47 817 ₽,14,256 Гб,8 ГБ,4,"Ноутбук, документация, блок питания с кабелем",45 Вт*час,1.4 кг,нет
"Ноутбук TECNO Megabook T1/ i3 12/256GB/15.6""/ Win11/",35 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Windows 11 Home
Ноутбук Lenovo IdeaPad 3 15ITL6 82H8024NRK,37 307 ₽,"15.6""",256 гб,4 гб,2,Ноутбук; зарядное устройство; документация,,2.1 кг,DOS
Ноутбук Asus TUF Gaming F15,153 388 ₽,15.6,512Gb,16,6,,4240 мАч,2.3 кг,DOS
"Ноутбук HP ProBook 445 G8 Ryzen 7 5800U/16Gb/SSD512Gb/14""/FHD/IPS/Win10Pro/silver",97 105 ₽,14,512 Гб,16,8,Ноутбук - 1 шт,,1.37 кг,Windows 10 Pro
Ноутбук Xbook,23 850 ₽,"14""",512 Гб,8 ГБ,4,ноутбук; блок питания; инструкция; гарантийный талон,4000 мА*ч,1.3 кг,Windows 11 Pro
Ноутбук Lenovo Gaming 3 i5 12450H/16ГБ/512SSD/RTX3050/165Hz,86 472 ₽,16,512,16; 16 ГБ,8,,,2.6 кг,DOS
Ноутбук Lenovo IdeaPad L3 15IML05 81Y300SYRK,68 727 ₽,"15.6""",128 гб,8 гб,4,Ноутбук; зарядное устройство; документация,,2.2 кг,DOS
"Ноутбук Pro Fortis M i5 10210U/8Gb/SSD256Gb/15.6""/noOS",38 033 ₽,"15.6""",256 Гб,8 ГБ,2,,4250 мА*ч,,noOS
"Ideapad 15 R7 5700U максимальное ускорение 4,3 ГГц",108 794 ₽,15.6,512 Гб,8 ГБ,8,,42Wh,1.6 кг,Windows 11 Pro
Ноутбук Acer Extensa 15 EX215-32-P9XP,61 069 ₽,"15.6""",256 гб,8 гб,4,ноутбуки; зарядное устройство; документация,,1.9 кг,Windows 10 Pro
"Ноутбук Gigabyte G5 GE [GE-51RU263SD]/15.6"" FHD/RTX 3050",65 790 ₽,"15.6""",512 Гб,8,12,,,,noOS
"15.6"" Notebook Intel Celeron N5095 2.0 GHz, 16GB, SSD 256Gb",29 411 ₽,15.6,512 Гб,16 ГБ,4,,,,
"Ноутбук 14"" EVE C414 Celeron N4020/ 4Гб/ eMMC64Гб/ W10HSL",15 094 ₽,"14 """,нет,4 ГБ,2 ядра,Зарядное устройство - 1 шт; документация - 1 шт; Ноутбук - 1 шт,5000 mAh,1.78 кг,Windows 10 Home (x64) SL
"Ноутбук TECNO Megabook T, Intel i3-1005G1/12GB/256GB/15.6",52 752 ₽,15.6,256GB,12 ГБ,2,Ноутбук; Зарядный блок; Инструкция,мАч -6060,1.5 кг,
"Ноутбук Xiaomi RedmiBook II 14"" Intel Core i5 1035G1",75 957 ₽,14,512 гб,8,4,"ноутбук, зарядное устройство",,,Windows 10 Home
"Игровой ноутбук TUF Dash F15 FX517ZC-HN098W 15.6""",133 216 ₽,15.6,1024 Гб,16 ГБ,10,"Ноутбук, блок питания, шнур питания",,2 кг,Windows Home
"Ноутбук Acer Swift 3 SF313-53 Core i5 1135G7/8Gb/SSD512Gb/13.5""/IPS/QHD/Win11/silver",61 373 ₽,13.5,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.2 кг,
Ноутбук X515JA-EJ2528 Transparent Silver (90NB0SR2-M001Y0),65 990 ₽,"15.6""",256 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,37 Втч,1.8 кг,отсутствует
